date,region,product,sales,quantity,customer_age,satisfaction_score,date_year,date_month,date_day,date_dayofweek,date_quarter,sales_bin,quantity_bin,customer_age_bin,satisfaction_score_bin,date_month_bin,date_day_bin,date_dayofweek_bin,sales_per_quantity,sales_per_customer_age,sales_per_satisfaction_score,sales_per_date_year,sales_per_date_month
2023-01-18,South,Product B,4943,94,49,3.68,2023,1,18,2,1,Q5,Q5,Q3,Q4,Q1,Q3,Q2,52.58510638297872,100.87755102040816,1343.2065217391303,2.4434008897676716,4943.0
2023-01-19,West,Product E,3004,87,66,2.85,2023,1,19,3,1,Q3,Q5,Q5,Q3,Q1,Q3,Q3,34.52873563218391,45.515151515151516,1054.0350877192982,1.4849233811171527,3004.0
2023-01-20,East,Product A,574,51,52,2.65,2023,1,20,4,1,Q1,Q3,Q4,Q2,Q1,Q4,Q3,11.254901960784315,11.038461538461538,216.60377358490567,0.2837370242214533,574.0
2023-01-21,North,Product C,1182,56,61,3.6,2023,1,21,5,1,Q2,Q3,Q4,Q4,Q1,Q4,Q4,21.107142857142858,19.37704918032787,328.3333333333333,0.5842807711319822,1182.0
2023-01-22,South,Product B,2658,83,55,3.18,2023,1,22,6,1,Q3,Q5,Q4,Q3,Q1,Q4,Q5,32.024096385542165,48.32727272727273,835.8490566037735,1.3138902619871478,2658.0
2023-01-23,West,Product B,2147,62,43,1.25,2023,1,23,0,1,Q2,Q4,Q3,Q1,Q1,Q4,Q1,34.62903225806452,49.93023255813954,1717.6,1.0612951062778053,2147.0
2023-01-24,East,Product E,2847,32,28,3.0,2023,1,24,1,1,Q3,Q2,Q1,Q3,Q1,Q4,Q1,88.96875,101.67857142857143,949.0,1.40731586752348,2847.0
2023-01-25,East,Product C,1075,30,52,4.23,2023,1,25,2,1,Q1,Q2,Q4,Q5,Q1,Q4,Q2,35.833333333333336,20.673076923076923,254.13711583924348,0.5313890261987148,1075.0
2023-01-26,South,Product B,1906,29,25,2.84,2023,1,26,3,1,Q2,Q2,Q1,Q3,Q1,Q5,Q3,65.72413793103448,76.24,671.1267605633803,0.9421651013346515,1906.0
2023-01-27,South,Product A,289,49,63,1.21,2023,1,27,4,1,Q1,Q3,Q5,Q1,Q1,Q5,Q3,5.8979591836734695,4.587301587301587,238.84297520661158,0.14285714285714285,289.0
2023-01-28,East,Product A,2834,45,31,4.15,2023,1,28,5,1,Q3,Q3,Q2,Q4,Q1,Q5,Q4,62.977777777777774,91.41935483870968,682.8915662650602,1.4008897676717746,2834.0
2023-01-29,North,Product B,3105,93,27,1.81,2023,1,29,6,1,Q4,Q5,Q1,Q1,Q1,Q5,Q5,33.38709677419355,115.0,1715.4696132596684,1.5348492338111714,3105.0
2023-01-30,North,Product A,4758,30,19,2.03,2023,1,30,0,1,Q5,Q2,Q1,Q2,Q1,Q5,Q1,158.6,250.42105263157896,2343.84236453202,2.351952545724172,4758.0
2023-01-31,West,Product C,1999,16,63,1.66,2023,1,31,1,1,Q2,Q1,Q5,Q1,Q1,Q5,Q1,124.9375,31.73015873015873,1204.2168674698796,0.9881364310430054,1999.0
2023-02-01,North,Product B,1367,40,26,2.32,2023,2,1,2,1,Q2,Q2,Q1,Q2,Q1,Q1,Q2,34.175,52.57692307692308,589.2241379310345,0.675729115175482,683.5
2023-02-02,East,Product E,1628,19,20,4.03,2023,2,2,3,1,Q2,Q1,Q1,Q4,Q1,Q1,Q3,85.6842105263158,81.4,403.970223325062,0.8047454275827979,814.0
2023-02-03,East,Product C,3302,18,38,3.0,2023,2,3,4,1,Q4,Q1,Q2,Q3,Q1,Q1,Q3,183.44444444444446,86.89473684210526,1100.6666666666667,1.6322293623331685,1651.0
2023-02-04,East,Product A,3656,1,43,3.0,2023,2,4,5,1,Q4,Q1,Q3,Q3,Q1,Q1,Q4,3656.0,85.02325581395348,1218.6666666666667,1.8072170044488383,1828.0
2023-02-05,North,Product B,3990,78,25,4.51,2023,2,5,6,1,Q4,Q4,Q1,Q5,Q1,Q1,Q5,51.15384615384615,159.6,884.7006651884701,1.972318339100346,1995.0
2023-02-06,West,Product C,746,47,65,4.52,2023,2,6,0,1,Q1,Q3,Q5,Q5,Q1,Q1,Q1,15.872340425531915,11.476923076923077,165.04424778761063,0.36875926841324763,373.0
2023-02-07,North,Product A,2988,66,19,4.48,2023,2,7,1,1,Q3,Q4,Q1,Q5,Q1,Q1,Q1,45.27272727272727,157.26315789473685,666.9642857142857,1.4770143351458231,1494.0
2023-02-08,West,Product B,2535,92,23,1.96,2023,2,8,2,1,Q3,Q5,Q1,Q2,Q1,Q2,Q2,27.554347826086957,110.21739130434783,1293.3673469387754,1.2530894710825506,1267.5
2023-02-09,North,Product D,700,94,45,2.8,2023,2,9,3,1,Q1,Q5,Q3,Q3,Q1,Q2,Q3,7.446808510638298,15.555555555555555,250.00000000000003,0.3460207612456747,350.0
2023-02-10,East,Product E,2463,38,70,4.94,2023,2,10,4,1,Q3,Q2,Q5,Q5,Q1,Q2,Q3,64.8157894736842,35.18571428571428,498.582995951417,1.2174987642115669,1231.5
2023-02-11,East,Product A,2161,51,46,4.09,2023,2,11,5,1,Q3,Q3,Q3,Q4,Q1,Q2,Q4,42.372549019607845,46.97826086956522,528.3618581907091,1.0682155215027187,1080.5
2023-02-12,South,Product A,341,63,43,1.11,2023,2,12,6,1,Q1,Q4,Q3,Q1,Q1,Q2,Q5,5.412698412698413,7.930232558139535,307.2072072072072,0.16856154226396441,170.5
2023-02-13,North,Product D,2141,4,42,1.26,2023,2,13,0,1,Q2,Q1,Q3,Q1,Q1,Q2,Q1,535.25,50.976190476190474,1699.2063492063492,1.0583292140385565,1070.5
2023-02-14,North,Product D,2924,1,29,2.86,2023,2,14,1,1,Q3,Q1,Q1,Q3,Q1,Q3,Q1,2924.0,100.82758620689656,1022.3776223776224,1.4453781512605042,1462.0
2023-02-15,South,Product C,2712,8,22,4.64,2023,2,15,2,1,Q3,Q1,Q1,Q5,Q1,Q3,Q2,339.0,123.27272727272727,584.4827586206897,1.3405832921403855,1356.0
2023-02-16,East,Product E,1463,29,51,3.15,2023,2,16,3,1,Q2,Q2,Q3,Q3,Q1,Q3,Q3,50.44827586206897,28.686274509803923,464.44444444444446,0.7231833910034602,731.5
2023-02-17,North,Product E,1578,55,65,2.99,2023,2,17,4,1,Q2,Q3,Q5,Q3,Q1,Q3,Q3,28.69090909090909,24.276923076923076,527.7591973244147,0.7800296589223925,789.0
2023-02-18,South,Product A,2656,3,54,1.42,2023,2,18,5,1,Q3,Q1,Q4,Q1,Q1,Q3,Q4,885.3333333333334,49.18518518518518,1870.4225352112676,1.3129016312407316,1328.0
2023-02-19,North,Product D,875,32,32,3.63,2023,2,19,6,1,Q1,Q2,Q2,Q4,Q1,Q3,Q5,27.34375,27.34375,241.04683195592287,0.43252595155709345,437.5
2023-02-20,West,Product E,4114,10,61,4.29,2023,2,20,0,1,Q5,Q1,Q4,Q5,Q1,Q4,Q1,411.4,67.44262295081967,958.974358974359,2.033613445378151,2057.0
2023-02-21,East,Product B,134,74,53,2.52,2023,2,21,1,1,Q1,Q4,Q4,Q2,Q1,Q4,Q1,1.8108108108108107,2.5283018867924527,53.17460317460318,0.06623826000988631,67.0
2023-02-22,West,Product E,3252,83,32,4.1,2023,2,22,2,1,Q4,Q5,Q2,Q4,Q1,Q4,Q2,39.18072289156626,101.625,793.1707317073171,1.6075135936727631,1626.0
2023-02-23,East,Product A,2055,34,60,4.86,2023,2,23,3,1,Q2,Q2,Q4,Q5,Q1,Q4,Q3,60.44117647058823,34.25,422.8395061728395,1.0158180919426594,1027.5
2023-02-24,South,Product E,1685,97,65,1.82,2023,2,24,4,1,Q2,Q5,Q5,Q1,Q1,Q4,Q3,17.371134020618555,25.923076923076923,925.8241758241758,0.8329214038556599,842.5
2023-02-25,East,Product C,4043,87,40,3.09,2023,2,25,5,1,Q5,Q5,Q3,Q3,Q1,Q4,Q4,46.47126436781609,101.075,1308.4142394822006,1.9985170538803756,2021.5
2023-02-26,East,Product D,3173,55,23,2.15,2023,2,26,6,1,Q4,Q3,Q1,Q2,Q1,Q5,Q5,57.69090909090909,137.95652173913044,1475.8139534883721,1.5684626791893228,1586.5
2023-02-27,South,Product A,1121,92,63,4.17,2023,2,27,0,1,Q1,Q5,Q5,Q4,Q1,Q5,Q1,12.184782608695652,17.793650793650794,268.82494004796166,0.5541275333662877,560.5
2023-02-28,East,Product A,3561,32,67,3.31,2023,2,28,1,1,Q4,Q2,Q5,Q3,Q1,Q5,Q1,111.28125,53.149253731343286,1075.8308157099698,1.7602570439940681,1780.5
2023-03-01,North,Product D,2713,50,61,3.54,2023,3,1,2,1,Q3,Q3,Q4,Q4,Q1,Q1,Q2,54.26,44.47540983606557,766.3841807909605,1.3410776075135937,904.3333333333334
2023-03-02,South,Product D,3943,7,60,4.19,2023,3,2,3,1,Q4,Q1,Q4,Q5,Q1,Q1,Q3,563.2857142857143,65.71666666666667,941.0501193317422,1.949085516559565,1314.3333333333333
2023-03-03,South,Product D,1600,93,62,2.58,2023,3,3,4,1,Q2,Q5,Q4,Q2,Q1,Q1,Q3,17.204301075268816,25.806451612903224,620.1550387596899,0.7909045971329708,533.3333333333334
2023-03-04,South,Product A,4898,8,38,4.66,2023,3,4,5,1,Q5,Q1,Q2,Q5,Q1,Q1,Q4,612.25,128.89473684210526,1051.0729613733906,2.421156697973307,1632.6666666666667
2023-03-05,West,Product D,261,65,40,3.13,2023,3,5,6,1,Q1,Q4,Q3,Q3,Q1,Q1,Q5,4.015384615384615,6.525,83.38658146964856,0.12901631240731587,87.0
2023-03-06,West,Product D,4397,57,60,1.63,2023,3,6,0,1,Q5,Q3,Q4,Q1,Q1,Q1,Q1,77.14035087719299,73.28333333333333,2697.5460122699387,2.1735046959960456,1465.6666666666667
2023-03-07,East,Product A,2081,67,72,3.0,2023,3,7,1,1,Q2,Q4,Q5,Q3,Q1,Q1,Q1,31.059701492537314,28.90277777777778,693.6666666666666,1.0286702916460702,693.6666666666666
2023-03-08,South,Product A,1095,88,33,4.17,2023,3,8,2,1,Q1,Q5,Q2,Q4,Q1,Q2,Q2,12.443181818181818,33.18181818181818,262.58992805755395,0.541275333662877,365.0
2023-03-09,East,Product C,3442,87,64,2.27,2023,3,9,3,1,Q4,Q5,Q5,Q2,Q1,Q2,Q3,39.5632183908046,53.78125,1516.2995594713657,1.7014335145823034,1147.3333333333333
2023-03-10,North,Product E,4651,59,70,4.43,2023,3,10,4,1,Q5,Q3,Q5,Q5,Q1,Q2,Q3,78.83050847457628,66.44285714285714,1049.8871331828443,2.2990608007909046,1550.3333333333333
2023-03-11,South,Product B,3898,72,32,4.62,2023,3,11,5,1,Q4,Q4,Q2,Q5,Q1,Q2,Q4,54.138888888888886,121.8125,843.7229437229437,1.9268413247652,1299.3333333333333
2023-03-12,North,Product A,1375,54,42,2.11,2023,3,12,6,1,Q2,Q3,Q3,Q2,Q1,Q2,Q5,25.462962962962962,32.73809523809524,651.6587677725119,0.6796836381611469,458.3333333333333
2023-03-13,East,Product B,1116,67,53,4.93,2023,3,13,0,1,Q1,Q4,Q4,Q5,Q1,Q2,Q1,16.65671641791045,21.056603773584907,226.369168356998,0.5516559565002471,372.0
2023-03-14,West,Product C,437,51,28,1.56,2023,3,14,1,1,Q1,Q3,Q1,Q1,Q1,Q3,Q1,8.568627450980392,15.607142857142858,280.12820512820514,0.21601581809194265,145.66666666666666
2023-03-15,East,Product E,978,97,68,1.81,2023,3,15,2,1,Q1,Q5,Q5,Q1,Q1,Q3,Q2,10.082474226804123,14.382352941176471,540.3314917127071,0.4834404349975284,326.0
2023-03-16,North,Product E,1176,92,32,1.74,2023,3,16,3,1,Q1,Q5,Q2,Q1,Q1,Q3,Q3,12.782608695652174,36.75,675.8620689655172,0.5813148788927336,392.0
2023-03-17,South,Product E,4987,8,21,4.58,2023,3,17,4,1,Q5,Q1,Q1,Q5,Q1,Q3,Q3,623.375,237.47619047619048,1088.8646288209607,2.4651507661888283,1662.3333333333333
2023-03-18,East,Product C,4093,34,38,3.62,2023,3,18,5,1,Q5,Q2,Q2,Q4,Q1,Q3,Q4,120.38235294117646,107.71052631578948,1130.6629834254143,2.023232822540781,1364.3333333333333
2023-03-19,South,Product D,4959,35,30,1.61,2023,3,19,6,1,Q5,Q2,Q2,Q1,Q1,Q3,Q5,141.68571428571428,165.3,3080.124223602484,2.4513099357390016,1653.0
2023-03-20,West,Product E,479,96,39,2.76,2023,3,20,0,1,Q1,Q5,Q2,Q3,Q1,Q4,Q1,4.989583333333333,12.282051282051283,173.55072463768118,0.23677706376668314,159.66666666666666
2023-03-21,West,Product E,592,88,36,3.46,2023,3,21,1,1,Q1,Q5,Q2,Q4,Q1,Q4,Q1,6.7272727272727275,16.444444444444443,171.09826589595377,0.2926347009391992,197.33333333333334
2023-03-22,West,Product C,2162,78,51,1.33,2023,3,22,2,1,Q3,Q4,Q3,Q1,Q1,Q4,Q2,27.71794871794872,42.3921568627451,1625.563909774436,1.068709836875927,720.6666666666666
2023-03-23,South,Product D,3984,32,31,4.53,2023,3,23,3,1,Q4,Q2,Q2,Q5,Q1,Q4,Q3,124.5,128.51612903225808,879.4701986754966,1.9693524468610974,1328.0
2023-03-24,East,Product E,164,46,21,4.21,2023,3,24,4,1,Q1,Q3,Q1,Q5,Q1,Q4,Q3,3.5652173913043477,7.809523809523809,38.95486935866983,0.08106772120612951,54.666666666666664
2023-03-25,South,Product E,2668,16,65,3.02,2023,3,25,5,1,Q3,Q1,Q5,Q3,Q1,Q4,Q4,166.75,41.04615384615385,883.4437086092715,1.318833415719229,889.3333333333334
2023-03-26,South,Product D,2127,68,70,4.87,2023,3,26,6,1,Q2,Q4,Q5,Q5,Q1,Q5,Q5,31.279411764705884,30.385714285714286,436.7556468172485,1.0514087988136431,709.0
2023-03-27,East,Product A,2795,37,69,2.67,2023,3,27,0,1,Q3,Q2,Q5,Q2,Q1,Q5,Q1,75.54054054054055,40.507246376811594,1046.8164794007491,1.3816114681166585,931.6666666666666
2023-03-28,West,Product A,1595,54,63,4.94,2023,3,28,1,1,Q2,Q3,Q5,Q5,Q1,Q5,Q1,29.537037037037038,25.317460317460316,322.87449392712546,0.7884330202669303,531.6666666666666
2023-03-29,West,Product E,491,85,44,3.67,2023,3,29,2,1,Q1,Q5,Q3,Q4,Q1,Q5,Q2,5.776470588235294,11.159090909090908,133.7874659400545,0.24270884824518044,163.66666666666666
2023-03-30,East,Product B,4614,14,46,3.54,2023,3,30,3,1,Q5,Q1,Q3,Q4,Q1,Q5,Q3,329.57142857142856,100.30434782608695,1303.3898305084745,2.280771131982205,1538.0
2023-03-31,South,Product D,4574,95,64,1.66,2023,3,31,4,1,Q5,Q5,Q5,Q1,Q1,Q5,Q3,48.14736842105263,71.46875,2755.421686746988,2.2609985170538804,1524.6666666666667
2023-04-01,South,Product D,3661,55,45,4.53,2023,4,1,5,2,Q4,Q3,Q3,Q5,Q2,Q1,Q4,66.56363636363636,81.35555555555555,808.167770419426,1.8096885813148789,915.25
2023-04-02,West,Product B,2378,48,52,2.71,2023,4,2,6,2,Q3,Q3,Q4,Q3,Q2,Q1,Q5,49.541666666666664,45.73076923076923,877.4907749077491,1.175481957488878,594.5
2023-04-03,North,Product D,3199,82,25,1.65,2023,4,3,0,2,Q4,Q5,Q1,Q1,Q2,Q1,Q1,39.01219512195122,127.96,1938.787878787879,1.5813148788927336,799.75
2023-04-04,North,Product C,300,7,33,1.05,2023,4,4,1,2,Q1,Q1,Q2,Q1,Q2,Q1,Q1,42.857142857142854,9.090909090909092,285.7142857142857,0.14829461196243204,75.0
2023-04-05,North,Product D,4975,74,59,3.24,2023,4,5,2,2,Q5,Q4,Q4,Q3,Q2,Q1,Q2,67.22972972972973,84.32203389830508,1535.4938271604938,2.459218981710331,1243.75
2023-04-06,South,Product D,3204,7,53,3.11,2023,4,6,3,2,Q4,Q1,Q4,Q3,Q2,Q1,Q3,457.7142857142857,60.45283018867924,1030.2250803858522,1.5837864557587742,801.0
2023-04-07,South,Product D,4698,33,47,3.88,2023,4,7,4,2,Q5,Q2,Q3,Q4,Q2,Q1,Q3,142.36363636363637,99.95744680851064,1210.8247422680413,2.3222936233316855,1174.5
2023-04-08,West,Product A,2554,23,35,4.56,2023,4,8,5,2,Q3,Q2,Q2,Q5,Q2,Q2,Q4,111.04347826086956,72.97142857142858,560.0877192982457,1.2624814631735046,638.5
2023-04-09,North,Product C,3745,85,19,1.32,2023,4,9,6,2,Q4,Q5,Q1,Q1,Q2,Q2,Q5,44.05882352941177,197.10526315789474,2837.121212121212,1.8512110726643598,936.25
2023-04-10,West,Product D,904,19,66,3.93,2023,4,10,0,2,Q1,Q1,Q5,Q4,Q2,Q2,Q1,47.578947368421055,13.696969696969697,230.02544529262084,0.4468610973801285,226.0
2023-04-11,West,Product C,2831,19,30,1.75,2023,4,11,1,2,Q3,Q1,Q2,Q1,Q2,Q2,Q1,149.0,94.36666666666666,1617.7142857142858,1.3994068215521502,707.75
2023-04-12,West,Product C,2873,36,21,3.0,2023,4,12,2,2,Q3,Q2,Q1,Q3,Q2,Q2,Q2,79.80555555555556,136.8095238095238,957.6666666666666,1.4201680672268908,718.25
2023-04-13,East,Product C,1670,29,43,4.28,2023,4,13,3,2,Q2,Q2,Q3,Q5,Q2,Q2,Q3,57.58620689655172,38.83720930232558,390.18691588785043,0.8255066732575383,417.5
2023-04-14,North,Product B,2790,60,42,3.16,2023,4,14,4,2,Q3,Q3,Q3,Q3,Q2,Q3,Q3,46.5,66.42857142857143,882.9113924050632,1.3791398912506179,697.5
2023-04-15,North,Product D,3940,82,47,3.0,2023,4,15,5,2,Q4,Q5,Q3,Q3,Q2,Q3,Q4,48.048780487804876,83.82978723404256,1313.3333333333333,1.9476025704399407,985.0
2023-04-16,East,Product A,1128,2,28,2.26,2023,4,16,6,2,Q1,Q1,Q1,Q2,Q2,Q3,Q5,564.0,40.285714285714285,499.11504424778764,0.5575877409787444,282.0
2023-04-17,East,Product A,602,1,24,2.88,2023,4,17,0,2,Q1,Q1,Q1,Q3,Q2,Q3,Q1,602.0,25.083333333333332,209.02777777777777,0.2975778546712803,150.5
2023-04-18,North,Product A,4593,47,48,4.29,2023,4,18,1,2,Q5,Q3,Q3,Q5,Q2,Q3,Q1,97.72340425531915,95.6875,1070.6293706293707,2.270390509144834,1148.25
2023-04-19,East,Product A,970,69,61,2.84,2023,4,19,2,2,Q1,Q4,Q4,Q3,Q2,Q3,Q2,14.057971014492754,15.901639344262295,341.54929577464793,0.4794859120118636,242.5
2023-04-20,West,Product D,4588,20,27,2.43,2023,4,20,3,2,Q5,Q1,Q1,Q2,Q2,Q4,Q3,229.4,169.92592592592592,1888.0658436213992,2.267918932278794,1147.0
2023-04-21,South,Product A,306,11,56,2.98,2023,4,21,4,2,Q1,Q1,Q4,Q3,Q2,Q4,Q3,27.818181818181817,5.464285714285714,102.68456375838926,0.15126050420168066,76.5
2023-04-22,West,Product C,1584,2,30,4.31,2023,4,22,5,2,Q2,Q1,Q2,Q5,Q2,Q4,Q4,792.0,52.8,367.5174013921114,0.7829955511616411,396.0
2023-04-23,North,Product B,963,67,48,2.34,2023,4,23,6,2,Q1,Q4,Q3,Q2,Q2,Q4,Q5,14.373134328358208,20.0625,411.53846153846155,0.47602570439940683,240.75
2023-04-24,East,Product E,2890,87,24,1.7,2023,4,24,0,2,Q3,Q5,Q1,Q1,Q2,Q4,Q1,33.2183908045977,120.41666666666667,1700.0,1.4285714285714286,722.5
2023-04-25,South,Product A,663,12,73,3.85,2023,4,25,1,2,Q1,Q1,Q5,Q4,Q2,Q4,Q1,55.25,9.082191780821917,172.2077922077922,0.3277310924369748,165.75
2023-04-26,North,Product E,4291,20,66,4.3,2023,4,26,2,2,Q5,Q1,Q5,Q5,Q2,Q5,Q2,214.55,65.01515151515152,997.9069767441861,2.121107266435986,1072.75
2023-04-27,East,Product E,1857,5,59,1.4,2023,4,27,3,2,Q2,Q1,Q4,Q1,Q2,Q5,Q3,371.4,31.47457627118644,1326.4285714285716,0.9179436480474543,464.25
2023-04-28,South,Product E,1778,37,59,1.96,2023,4,28,4,2,Q2,Q2,Q4,Q2,Q2,Q5,Q3,48.054054054054056,30.135593220338983,907.1428571428571,0.8788927335640139,444.5
2023-04-29,South,Product C,3342,38,73,1.57,2023,4,29,5,2,Q4,Q2,Q5,Q1,Q2,Q5,Q4,87.94736842105263,45.78082191780822,2128.6624203821657,1.652001977261493,835.5
2023-04-30,East,Product A,4736,94,53,2.39,2023,4,30,6,2,Q5,Q5,Q4,Q2,Q2,Q5,Q5,50.38297872340426,89.35849056603773,1981.5899581589956,2.3410776075135935,1184.0
2023-05-01,South,Product D,1159,9,37,2.8,2023,5,1,0,2,Q1,Q1,Q2,Q3,Q2,Q1,Q1,128.77777777777777,31.324324324324323,413.92857142857144,0.5729115175481958,231.8
2023-05-02,North,Product C,1822,98,21,4.0,2023,5,2,1,2,Q2,Q5,Q1,Q4,Q2,Q1,Q1,18.591836734693878,86.76190476190476,455.5,0.9006426099851705,364.4
2023-05-03,East,Product D,3414,53,71,3.6,2023,5,3,2,2,Q4,Q3,Q5,Q4,Q2,Q1,Q2,64.41509433962264,48.08450704225352,948.3333333333333,1.6875926841324764,682.8
2023-05-04,West,Product A,3257,44,24,3.48,2023,5,4,3,2,Q4,Q3,Q1,Q4,Q2,Q1,Q3,74.02272727272727,135.70833333333334,935.9195402298851,1.6099851705388037,651.4
2023-05-05,North,Product C,2725,99,71,2.41,2023,5,5,4,2,Q3,Q5,Q5,Q2,Q2,Q1,Q3,27.525252525252526,38.38028169014085,1130.7053941908714,1.347009391992091,545.0
2023-05-06,North,Product E,2829,86,18,4.37,2023,5,6,5,2,Q3,Q5,Q1,Q5,Q2,Q1,Q4,32.895348837209305,157.16666666666666,647.3684210526316,1.398418190805734,565.8
2023-05-07,East,Product C,1697,24,61,2.89,2023,5,7,6,2,Q2,Q2,Q4,Q3,Q2,Q1,Q5,70.70833333333333,27.81967213114754,587.19723183391,0.8388531883341572,339.4
2023-05-08,East,Product C,3160,81,73,4.92,2023,5,8,0,2,Q4,Q4,Q5,Q5,Q2,Q2,Q1,39.01234567901235,43.28767123287671,642.2764227642276,1.5620365793376174,632.0
2023-05-09,South,Product A,2793,74,62,3.54,2023,5,9,1,2,Q3,Q4,Q4,Q4,Q2,Q2,Q1,37.74324324324324,45.04838709677419,788.9830508474577,1.3806228373702423,558.6
2023-05-10,North,Product E,4991,30,59,1.51,2023,5,10,2,2,Q5,Q2,Q4,Q1,Q2,Q2,Q2,166.36666666666667,84.59322033898304,3305.298013245033,2.4671280276816607,998.2
2023-05-11,South,Product E,3727,59,64,3.7,2023,5,11,3,2,Q4,Q3,Q5,Q4,Q2,Q2,Q3,63.16949152542373,58.234375,1007.2972972972973,1.842313395946614,745.4
2023-05-12,North,Product B,1463,87,30,2.3,2023,5,12,4,2,Q2,Q5,Q2,Q2,Q2,Q2,Q3,16.816091954022987,48.766666666666666,636.0869565217391,0.7231833910034602,292.6
2023-05-13,North,Product B,2081,96,72,3.75,2023,5,13,5,2,Q2,Q5,Q5,Q4,Q2,Q2,Q4,21.677083333333332,28.90277777777778,554.9333333333333,1.0286702916460702,416.2
2023-05-14,West,Product D,1763,81,39,1.28,2023,5,14,6,2,Q2,Q4,Q2,Q1,Q2,Q3,Q5,21.765432098765434,45.205128205128204,1377.34375,0.8714780029658923,352.6
2023-05-15,North,Product B,1629,81,71,1.7,2023,5,15,0,2,Q2,Q4,Q5,Q1,Q2,Q3,Q1,20.11111111111111,22.943661971830984,958.2352941176471,0.805239742956006,325.8
2023-05-16,South,Product A,2138,14,38,4.42,2023,5,16,1,2,Q2,Q1,Q2,Q5,Q2,Q3,Q1,152.71428571428572,56.26315789473684,483.710407239819,1.0568462679189323,427.6
2023-05-17,South,Product C,3402,9,39,1.91,2023,5,17,2,2,Q4,Q1,Q2,Q2,Q2,Q3,Q2,378.0,87.23076923076923,1781.151832460733,1.6816608996539792,680.4
